id	pr_analyte_id	pr_analyte_num	pr_bset_id	pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_bing	pr_is_inf	pr_is_lmark	pr_lua_id	pr_model_id	pr_pool_id
215697_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215701_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215713_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215727_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215730_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215736_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215738_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215742_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215745_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215746_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215750_at	-666	-666	-666	85373	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215753_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215755_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215762_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215763_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215768_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215775_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215780_s_at	-666	-666	-666	6418///642869	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215786_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215788_at	-666	-666	-666	100508506///339457	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215791_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215796_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215799_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215801_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215802_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215805_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215806_x_at	-666	-666	-666	445347///6967	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215811_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215812_s_at	-666	-666	-666	386757///6535	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215819_s_at	-666	-666	-666	6006///6007	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215823_x_at	-666	-666	-666	26986///51132	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215825_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215828_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215831_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215836_s_at	-666	-666	-666	26025///5098///56097///56098///56099///56100///56101///56102///56103///56104///56105///56106///56107///56108///56109///56110///56111///56112///56113///56114///8641///9708	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215837_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215845_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215846_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215853_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215854_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215858_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215861_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215862_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215864_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215866_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215868_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215869_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215871_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215872_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215874_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215875_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215876_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215881_x_at	-666	-666	-666	10214///6757///727837	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215893_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215896_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215899_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215900_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215902_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215906_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215907_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215908_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215914_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215920_s_at	-666	-666	-666	23117///283970///440348	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215924_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215928_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215929_at	-666	-666	-666	283079	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215934_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215935_at	-666	-666	-666	26165///389730///642265///642629///647060///727830///727905	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215939_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215940_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215941_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215944_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215949_x_at	-666	-666	-666	100510678///3507	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215956_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215958_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215962_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215964_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215965_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215968_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215969_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215971_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215974_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215975_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215976_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215979_s_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215981_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215986_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215993_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215995_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215996_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
215998_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216000_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216002_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216006_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216007_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216012_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216014_s_at	-666	-666	-666	158586///7789	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216022_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216028_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216029_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216040_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216043_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216046_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216050_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216051_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216065_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216067_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216068_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216069_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216070_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216072_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216075_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216078_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216087_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216090_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216093_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216094_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216097_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216098_s_at	-666	-666	-666	3363///93164	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216101_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216108_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216110_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216112_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216118_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216121_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216122_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216123_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216124_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216126_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216130_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216132_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216136_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216138_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216140_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216141_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216142_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216143_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216144_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216145_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216146_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216147_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216148_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216150_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216151_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216152_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216154_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216155_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216157_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216158_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216159_s_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216160_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216163_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216166_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216168_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216169_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216170_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216171_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216172_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216173_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216175_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216177_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216179_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216186_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216187_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216189_at	-666	-666	-666	100289109	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216193_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216196_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216201_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216207_x_at	-666	-666	-666	28299///28904///3514///652493///652694	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216211_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216214_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216225_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216227_at	-666	-666	-666	80867	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216229_x_at	-666	-666	-666	80867	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216236_s_at	-666	-666	-666	144195///6515	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216246_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216247_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216259_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216278_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216284_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216286_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216287_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216290_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216292_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216297_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216301_at	-666	-666	-666	100287927	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216302_at	-666	-666	-666	3183///343069///440563///649330	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216311_at	-666	-666	-666	100509661///728361	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216315_x_at	-666	-666	-666	387522///7335	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216316_x_at	-666	-666	-666	2710///2713	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216319_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216324_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216329_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216333_x_at	-666	-666	-666	7146///7148	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216336_x_at	-666	-666	-666	100505584///4493	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216337_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216339_s_at	-666	-666	-666	7146///7148	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216342_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216351_x_at	-666	-666	-666	1617///57054///57055///57135	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216353_s_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216354_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216355_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216358_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216362_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216363_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216366_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216369_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216371_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216372_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216374_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216376_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216378_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216380_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216383_at	-666	-666	-666	390354///6142	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216384_x_at	-666	-666	-666	150928///441454///5757///728026	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216387_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216394_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216400_at	-666	-666	-666	2629///2630	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216401_x_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216405_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216406_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216410_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216413_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216414_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216416_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216420_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216421_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216422_at	-666	-666	-666	5036///647033	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216423_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216425_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216426_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216427_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216429_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216430_x_at	-666	-666	-666	28823///28825	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216431_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216437_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216438_s_at	-666	-666	-666	7114///7117	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216441_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216443_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216444_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216445_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216446_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216447_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216448_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216455_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216456_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216461_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216462_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216463_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216465_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216467_s_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216470_x_at	-666	-666	-666	5644///5645///5646	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216471_x_at	-666	-666	-666	6757///727837	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216472_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216473_x_at	-666	-666	-666	22947///441056///653543///653544///653545///653548///728410	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216474_x_at	-666	-666	-666	64499///7177	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216475_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216476_at	-666	-666	-666	442381///650293///8586	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216477_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
216478_at	-666	-666	-666	-666	-666	-666	-666	-666	N	-666	mlr12k_epsilon5253_978	-666
